時間,軸1,軸2,軸3,軸4,軸5,軸6
085130,0000NM,0000NM,
085143,2831NM,2783NM,2829NM,2773NM,2930NM,3063NM,
085214,2897NM,2825NM,2811NM,2844NM,2976NM,3004NM,
085320,2899NM,2771NM,2848NM,2781NM,2918NM,3067NM,
085348,2850NM,2821NM,2861NM,2783NM,3016NM,3031NM,
085452,2834NM,2844NM,2863NM,2829NM,2947NM,3033NM,
085517,2894NM,2817NM,2865NM,2802NM,2962NM,3090NM,
085623,2863NM,2789NM,2874NM,2800NM,2939NM,3062NM,
085658,2852NM,2789NM,2838NM,2844NM,2924NM,3048NM,
085808,2819NM,2777NM,2855NM,2800NM,2932NM,3073NM,
085840,2890NM,2775NM,2911NM,2796NM,2983NM,3042NM,
