時間,軸1,軸2,軸3,軸4,軸5,軸6
092034,2785NM,2678NM,2781NM,2684NM,2779NM,3046NM,
092056,2785NM,2693NM,2792NM,2705NM,2787NM,2970NM,
092246,2794NM,2680NM,2823NM,2722NM,2798NM,2989NM,
092328,2783NM,2674NM,2789NM,2693NM,2804NM,2999NM,
092439,2796NM,2685NM,2815NM,2693NM,2811NM,3012NM,
092508,2781NM,2693NM,2789NM,2687NM,2787NM,2951NM,
092606,2783NM,2703NM,2773NM,2697NM,2794NM,2993NM,
092643,2806NM,0000NM,2785NM,2680NM,2792NM,2991NM,
093457,2781NM,2676NM,2817NM,2689NM,2790NM,3018NM,
093524,2779NM,2701NM,2800NM,2676NM,2800NM,3020NM,
093735,2787NM,2693NM,2779NM,2672NM,2785NM,3081NM,
093809,2769NM,2697NM,2792NM,2697NM,2815NM,2989NM,
093909,2781NM,2670NM,2789NM,2678NM,2806NM,2983NM,
093938,2775NM,2699NM,2769NM,2685NM,2796NM,3020NM,
094034,2836NM,2684NM,2787NM,2680NM,2787NM,2997NM,
094104,2800NM,2693NM,2779NM,2701NM,2850NM,3012NM,
094351,2789NM,2685NM,2783NM,2747NM,2789NM,3046NM,
094417,2796NM,2680NM,2785NM,2689NM,2771NM,3050NM,
094531,2813NM,2703NM,2783NM,2710NM,2781NM,3041NM,
094559,2804NM,2693NM,2790NM,2699NM,2789NM,3006NM,
094656,2794NM,2735NM,2792NM,2680NM,2831NM,3010NM,
094723,2771NM,2687NM,2815NM,2687NM,2789NM,2974NM,
094940,2777NM,2684NM,2779NM,2682NM,2800NM,3018NM,
095009,2792NM,2685NM,2766NM,2693NM,2768NM,3069NM,
095106,2790NM,2710NM,2789NM,2733NM,2777NM,2970NM,
095236,2771NM,2682NM,2792NM,2682NM,2802NM,3010NM,
095426,2787NM,2680NM,2790NM,2684NM,2815NM,2979NM,
095503,2787NM,2697NM,2855NM,2691NM,2789NM,2968NM,
095946,2789NM,2699NM,2781NM,2695NM,2781NM,2970NM,
100012,2804NM,2687NM,2792NM,2693NM,2798NM,3035NM,
101450,0000NM,2689NM,2787NM,2712NM,2789NM,2983NM,
101605,2831NM,2680NM,2806NM,2695NM,2777NM,3052NM,
101659,2779NM,2689NM,2800NM,2693NM,2785NM,3000NM,
101746,2815NM,2735NM,2806NM,2703NM,2800NM,3002NM,
101852,2789NM,2701NM,2800NM,2697NM,2880NM,3010NM,
101923,2798NM,2701NM,2785NM,2678NM,2787NM,2993NM,
102029,2792NM,2727NM,2785NM,0000NM,2785NM,3023NM,
102057,2823NM,2689NM,2779NM,2691NM,2794NM,3020NM,
102719,2800NM,2685NM,2848NM,2705NM,2794NM,3033NM,
102949,2792NM,2666NM,2802NM,2731NM,2785NM,3006NM,
103022,2808NM,2689NM,2802NM,2672NM,2813NM,2981NM,
103124,2846NM,2684NM,2800NM,2687NM,2790NM,3037NM,
103150,2834NM,2689NM,2789NM,2701NM,2792NM,3006NM,
110412,2777NM,2682NM,2804NM,2687NM,2808NM,2970NM,
110440,2773NM,2735NM,2817NM,2678NM,2777NM,3000NM,
110939,2781NM,2701NM,2787NM,2701NM,2787NM,3067NM,
111007,2766NM,2695NM,2838NM,2678NM,2806NM,3018NM,
111113,2785NM,2674NM,0000NM,2689NM,2831NM,3042NM,
111142,2790NM,2701NM,2781NM,2682NM,2794NM,3023NM,
111505,2802NM,2695NM,2792NM,2701NM,2779NM,3042NM,
111532,2800NM,2716NM,2787NM,2685NM,2785NM,3041NM,
111618,2792NM,2710NM,2794NM,2680NM,2800NM,3014NM,
111651,2810NM,2712NM,2800NM,2684NM,2768NM,3050NM,
111735,2810NM,2684NM,2790NM,2687NM,2796NM,2995NM,
111904,2863NM,2710NM,2771NM,2682NM,2768NM,3006NM,
112017,2787NM,2676NM,2773NM,2687NM,2777NM,3058NM,
112044,2829NM,2685NM,2815NM,2705NM,2773NM,3023NM,
112112,2792NM,2676NM,2777NM,2674NM,2792NM,2964NM,
112208,2768NM,2705NM,2800NM,2687NM,2886NM,3132NM,
112235,2792NM,2697NM,2790NM,2699NM,2785NM,3084NM,
