時間,軸1,軸2,軸3,軸4,軸5,軸6
085321,0000NM,0000NM,0000NM,0000NM,0000NM,
085334,2850NM,2804NM,2926NM,2825NM,2985NM,3054NM,
085522,2861NM,2790NM,2903NM,2785NM,2930NM,3016NM,
092354,2831NM,2773NM,2819NM,2777NM,2932NM,2972NM,
092744,2829NM,2794NM,2867NM,2804NM,2918NM,3014NM,
092848,2853NM,2802NM,2821NM,2792NM,2920NM,3071NM,
092915,2823NM,2769NM,2838NM,2769NM,2930NM,2974NM,
093032,2829NM,2773NM,2842NM,2800NM,2926NM,2979NM,
101430,2842NM,2775NM,2825NM,2815NM,2928NM,2981NM,
101500,2842NM,2802NM,2909NM,2781NM,2955NM,3018NM,
101630,2840NM,2787NM,2832NM,2771NM,2930NM,3023NM,
101655,2836NM,2775NM,2840NM,2804NM,2939NM,3004NM,
101742,2844NM,2810NM,2850NM,2785NM,2955NM,3060NM,
101808,2844NM,2789NM,2829NM,2775NM,2983NM,3060NM,
101929,2846NM,2792NM,2857NM,2787NM,2941NM,3010NM,
102007,2878NM,2796NM,2823NM,2785NM,2926NM,3027NM,
102111,2831NM,2796NM,2846NM,2769NM,2920NM,3083NM,
102151,2840NM,2813NM,2882NM,2771NM,2951NM,3020NM,
102234,2855NM,2794NM,2827NM,2775NM,2928NM,2999NM,
102317,2857NM,2787NM,2829NM,2781NM,2937NM,3006NM,
102409,2844NM,2878NM,2831NM,2846NM,2960NM,3027NM,
102434,2850NM,2796NM,2840NM,2815NM,2932NM,2958NM,
102509,2832NM,2789NM,2834NM,2825NM,2958NM,3023NM,
102615,2836NM,2792NM,2840NM,2781NM,2928NM,3006NM,
102640,2831NM,2768NM,2834NM,2855NM,2943NM,2983NM,
102728,2888NM,2779NM,2838NM,2777NM,2920NM,2968NM,
102753,2811NM,2827NM,2829NM,2800NM,2951NM,3065NM,
102908,2817NM,2792NM,2901NM,2790NM,2934NM,2985NM,
102957,2842NM,2750NM,2846NM,2798NM,2951NM,2999NM,
103023,2842NM,2792NM,2840NM,2804NM,2920NM,3067NM,
103108,2869NM,2769NM,2850NM,2773NM,2930NM,3000NM,
104634,2821NM,2794NM,2831NM,2768NM,2930NM,2978NM,
104929,2831NM,2800NM,2834NM,2768NM,2930NM,3039NM,
105109,2823NM,2790NM,2821NM,2796NM,2924NM,2991NM,
105157,2840NM,2781NM,2853NM,2817NM,2932NM,2978NM,
105223,2850NM,2775NM,2855NM,2865NM,2939NM,3039NM,
105316,2852NM,2802NM,2832NM,2790NM,3023NM,3000NM,
105341,2836NM,2798NM,2840NM,2792NM,2939NM,3010NM,
105427,2846NM,2802NM,2846NM,2789NM,2941NM,3016NM,
105458,2842NM,2785NM,2829NM,2800NM,2922NM,2978NM,
105549,2865NM,2783NM,2838NM,2775NM,2924NM,3027NM,
105618,2819NM,2808NM,2827NM,2775NM,2958NM,3039NM,
110415,2873NM,2789NM,2855NM,2804NM,2939NM,3018NM,
110507,2817NM,2798NM,2878NM,2785NM,2972NM,3037NM,
110614,2840NM,2790NM,2886NM,2800NM,2928NM,2978NM,
110934,2880NM,2829NM,2821NM,2777NM,2941NM,3117NM,
110952,2832NM,2781NM,2876NM,2794NM,2936NM,2970NM,
111041,2853NM,2792NM,2819NM,2817NM,2930NM,3004NM,
111110,2852NM,2800NM,2834NM,2846NM,2943NM,3077NM,
111143,2848NM,2789NM,2880NM,2825NM,2930NM,3077NM,
111840,2924NM,2781NM,2865NM,2781NM,2918NM,3004NM,
111905,2857NM,2775NM,2811NM,2810NM,2928NM,2964NM,
111949,2848NM,2783NM,2832NM,2831NM,2930NM,3023NM,
112044,2838NM,2800NM,2876NM,2768NM,2945NM,3016NM,
112124,2846NM,2800NM,2848NM,2775NM,2939NM,3031NM,
112150,2859NM,2775NM,2852NM,2800NM,2941NM,3035NM,
